Player Name,Matchup,Market,Odds
S. Barkley,@ DAL,Over 88.8 Rush Yds,-114
S. Barkley,@ DAL,Over 88.8 Rush Yds,-114
S. Barkley,@ DAL,Over 19.5 Rush Att,-128
G. Wilson,@ ARI,Over 69.5 Rush + Rec Yds,-115
J. Mixon,VS DET,Over 0.5 Anytime TD,-220
N. Collins,VS DET,Over 0.5 Anytime TD,+140
N. Collins,VS DET,Over 0.5 Anytime TD,+140
A. St. Brown,@ HOU,Over 0.5 Anytime TD,+130
A. St. Brown,@ HOU,Over 0.5 Anytime TD,+130
J. Gibbs,@ HOU,Over 0.5 Anytime TD,-155
J. Gibbs,@ HOU,Over 0.5 Anytime TD,-155
C. Stroud,VS DET,Under 1.5 Pass TD,-188
J. Goff,@ HOU,Under 0.5 Int,-165
J. Goff,@ HOU,Under 19.5 Pass Compl,-108
J. Goff,@ HOU,Under 29.5 Pass Att,-114
K. Fairbairn,VS DET,Over 1.5 FGM,-140
K. Fairbairn,VS DET,Over 1.5 FGM,-140
J. Mixon,VS DET,Over 18.5 Rush Att,-115
C. Stroud,VS DET,Over 230.5 Pass Yds,-114
C. Stroud,VS DET,Over 246.5 Pass + Rush Yds,-114
C. Stroud,VS DET,Over 246.5 Pass + Rush Yds,-114
A. St. Brown,@ HOU,Over 6.5 Receptions,+116
A. St. Brown,@ HOU,Under 65.5 Rec Yds,-114
J. Gibbs,@ HOU,Under 15.5 Rec Yds,-114
J. Gibbs,@ HOU,Under 2.5 Receptions,-114
J. Gibbs,@ HOU,Over 60.5 Rush Yds,-114
J. Gibbs,@ HOU,Over 60.5 Rush Yds,-114
K. Fairbairn,VS DET,Over 1.5 XPM,-210
D. Montgomery,@ HOU,Over 10.5 Rec Yds,-110
D. Montgomery,@ HOU,Over 1.5 Receptions,-150
T. Patrick,@ HOU,Over 1.5 Receptions,-165
J. Mixon,VS DET,Over 82.5 Rush Yds,-114
J. Mixon,VS DET,Over 105.5 Rush + Rec Yds,-115
J. Mixon,VS DET,Over 19.5 Rec Yds,-110
J. Mixon,VS DET,Over 2.5 Receptions,-175
J. Goff,@ HOU,Under 225.5 Pass Yds,-114
T. Patrick,@ HOU,Under 20.5 Rec Yds,-125
T. Patrick,@ HOU,Under 19.5 Rush + Rec Yds,-115
K. Williams,VS MIA,Over 0.5 Anytime TD,-220
D. Robinson,VS MIA,Over 0.5 Anytime TD,+260
M. Stafford,VS MIA,Over 1.5 Pass TD,-120
T. Tagovailoa,@ LA,Under 0.5 Int,-110
M. Stafford,VS MIA,Over 250.5 Pass Yds,-114
